iteration,Kp,Ki,Kd,score,rmse,mae,max_error,iae,ise,itae,large_error_ratio,settling_std,overshoot_count,n_samples
1,0.7695207765304337,0.0007934084110147534,0.14179228808058766,68.28451762045346,10.76473980614502,8.666862173929367,22.382812500000004,251.6644352150869,3364.860235877926,3776.708938065745,0.3071625344352617,7.576683037490321,0,1452
2,0.17302734508757092,0.015353238049117942,0.00025358103180916507,105.7606255556847,14.835018958036637,12.310914189034396,24.37109598463459,357.7271041209223,6394.9588462393,5288.675123843856,0.6896077081899519,9.766429347026481,0,1453
3,0.0618768351118945,0.004328968209178115,0.00037800158586000915,162.95699308922926,16.614176827584192,13.815472440821873,26.58203125,401.19615437364433,8015.833310952706,5836.615237873775,0.6900826446280992,10.46967825394468,0,1452
4,0.25911752091945994,0.00018906957727551988,0.08288007750303492,102.17864649287453,14.071076311193455,11.76309911656814,23.76953125,341.5960003754114,5749.706249507685,5023.779964198161,0.6900826446280992,9.256420840838175,0,1452
5,2.2238971700081955,0.00010088318419506547,1.0249420303225127,74.48264485336293,10.741970363510337,9.007058867823211,25.39085976351504,261.7136786282599,3352.8283528529437,3848.4806209351063,0.4700619408121129,6.829516072637798,0,1453
6,0.0020000000000000005,8.009999999999998,1.102,160.24497884921996,15.914473458238906,13.365200014719768,28.73383740493954,388.3691920179444,7359.594014429648,5811.325551913737,0.6779077770130764,10.385147689122853,0,1453
7,1.1479748467250774,8.009999999999998,0.0001,59.22149196198379,8.376156548192991,6.6200586346330565,25.546875000000007,192.3741337851247,2038.799002626548,2994.772482467271,0.30763936682725396,6.822383963200682,0,1453
8,1.1743606562189235,8.009999999999998,0.0001,58.814345604600334,8.294433764267266,6.431846432190102,25.63476562498634,186.7695092582791,1997.762229434064,2965.7103348340625,0.30578512396694213,6.8347918151761995,0,1452
9,3.519999999999998,8.009999999999998,1.102,61.92243895397184,8.866975642693365,7.2109668777763005,25.283203125,209.38381154734432,2282.9722443653873,3124.923920567745,0.3305785123966942,6.816198390324698,0,1452
10,1.377178403917528,5.016098328962154,0.00017619753091939632,57.21841945039929,8.221117520905104,6.289233921629422,25.371093750000004,182.63264721340065,1962.6478322862679,2785.077592666838,0.30578512396694213,6.399231429537517,0,1452
11,1.5435409693009816,0.29034252105775477,0.0001,57.31512624067421,8.361803582055192,6.3296737224741975,24.49218734069408,183.7960197593782,2030.2742284697704,2815.8927659162273,0.30785123966942146,6.2897611235395186,0,1452
12,1.4917329382879456,2.7546944436153877,0.00017632815226742627,56.58657406720076,8.193829265529379,6.165356991728206,25.195312499999805,178.914223516563,1948.3207688591601,2753.970048584742,0.3059958649207443,6.244588432792192,0,1451
13,1.6021134739987914,2.5441097070629564,0.00020030915188412192,56.481168293025235,8.190303978339937,6.193770391716947,25.283203125,179.95217405886342,1948.956013410722,2780.8828654162608,0.30763936682725396,6.1749405344219035,0,1453
14,1.6591961935487527,2.88957418793153,0.00021959782243105434,56.68370000781481,8.182327583399964,6.1687515697770525,25.371093750000004,179.3614630135776,1946.6397286733036,2789.04377713588,0.30605226960110044,6.28255993039427,0,1454
15,1.5477540594954866,1.7614173292554527,1.102,75.59814176499086,11.018912144063284,9.015882303415651,25.896966366390387,261.81160894245306,3525.803517531227,3964.03444067798,0.48415977961432505,6.778815397577463,0,1452
16,3.519999999999998,8.009999999999998,0.002024719450517201,65.85935317720246,9.239065708708482,7.926037942235031,24.84375,230.32769718544776,2480.5394036634566,3477.4853017883,0.3041982105987612,8.081757762537471,0,1453
17,1.5782007107681195,8.009999999999998,0.0002586695007666084,60.98998177049639,8.585289434637303,7.217197961531301,25.791422911459357,209.57473654051515,2140.327310931817,3124.8529364205597,0.3009641873278237,7.184665191099766,0,1452
18,1.6546006596143927,0.0001,0.0001,58.19038902136931,8.478929525246377,6.630448444060764,24.66796875,192.51360888196064,2087.375510792021,2903.1748854460493,0.30647382920110194,6.426130022253566,0,1452
19,1.6719408848746011,8.009999999999998,0.0001,60.54617553113246,8.366134506591573,6.6053143880868275,25.970058813459843,191.8112869398144,2032.4990502401513,3078.228137906333,0.30647382920110194,7.294966889935799,0,1452
20,1.2179378333853126,0.0001,0.0006232794220837243,60.29207510748408,9.061152480958965,7.088771304981122,23.876953125000004,205.8454522870872,2384.169833521812,3059.6406639079723,0.30578512396694213,6.597247547412642,0,1452
